appid,p10,p25,median,p75,p90
80310,127,369,509,670,903
10,169,1040,10573,57666,138744
50,127,289,457,854,1891
60,6,12,42,162,790
70,124,405,847,1607,3574
130,71,166,241,414,910
220,254,614,990,1730,3125
240,205,718,3363,21320,78380
8400,13,33,105,374,1213
4500,266,698,1417,2812,5520
380,169,215,305,518,937
400,136,215,356,684,1326
420,232,304,443,804,1477
7940,188,413,920,2404,6891
27800,7,13,69,367,937
1250,195,630,2382,8406,22925
6000,110,365,598,943,1658
20530,38,160,371,572,945
32370,137,844,2097,3483,5943
20500,117,343,946,1787,3318
32440,179,437,965,2016,3514
41700,297,948,1946,4137,9006
27810,7,24,127,401,619
8190,78,289,1028,2478,5250
35140,341,629,952,1515,2412
70300,49,137,258,491,1024
40800,74,180,448,1149,2634
620,366,628,1110,2087,4124
105600,1338,3873,9757,21444,40567
20920,218,715,1728,2856,4623
98200,18,107,417,1183,2647
8980,272,987,2303,4690,8795
55150,236,443,802,2076,5308
8930,1704,4373,11140,26361,56904
72850,1257,3763,8967,18849,36621
207170,198,592,1334,2229,3609
207610,435,767,949,1349,2131
8800,664,2872,10300,34642,96798
212680,481,1139,2752,6149,12223
108200,166,468,1527,4548,12808
3830,166,548,1058,1689,2658
48000,66,175,264,398,640
57300,50,192,532,936,1812
204060,26,98,262,378,531
107100,179,364,592,1005,1608
108710,154,474,767,1141,1874
202750,77,183,273,420,654
211420,380,2348,5514,10251,17797
207570,10,30,159,544,1010
202170,402,1048,1683,2714,4260
730,3885,13286,36700,77670,133170
200260,347,815,1461,2740,5001
204360,221,470,949,1987,3918
49520,520,1802,4832,11179,22169
219150,199,333,554,959,1582
200510,822,1925,3836,7701,15469
214560,251,527,895,1463,2193
219640,126,356,1110,3141,10837
211400,137,226,309,447,668
4920,145,560,2334,9784,41313
219950,15,46,202,468,972
214510,90,408,902,2041,3121
221640,53,147,367,947,1942
200900,137,374,712,1333,2483
219890,94,249,485,764,1161
218230,129,667,3611,16720,53815
230410,624,3698,25018,72194,136733
236390,510,1956,9292,36990,91972
238960,632,2756,17001,72121,154954
233860,1176,3480,8248,16923,31418
113020,45,138,367,971,2398
224760,66,197,512,884,1318
234710,105,298,644,1205,2269
233270,124,315,535,845,1391
220200,776,2632,8381,21047,44040
231160,114,260,371,527,775
242760,509,1079,2167,4139,7404
244210,226,938,3592,11175,28236
248820,264,812,1989,3995,6892
239350,209,756,2574,7440,16962
244730,40,113,232,447,891
250760,318,604,1317,2707,5001
251470,127,383,889,2066,4369
251730,348,1314,2390,4080,7383
252950,1043,4571,18932,48761,91621
253750,40,101,223,501,1425
254320,144,383,861,1836,3786
236450,23,65,174,417,878
219990,879,2405,6479,16952,38150
257850,251,532,934,1658,2771
258010,50,163,603,1985,4329
259680,628,1984,6101,16529,39277
94400,56,129,269,499,898
221910,77,141,248,448,975
227300,777,2036,5656,14717,35259
265930,62,150,358,868,2058
266010,85,195,474,1123,2100
268130,320,748,1556,2890,4978
239090,59,154,384,901,1870
235460,336,613,1007,1851,3338
550,376,897,2419,7495,22555
271590,2122,5079,12227,25839,47460
236430,1033,3304,6719,12317,20435
274170,282,549,1049,2390,5199
222880,167,553,1748,5163,14022
281990,1588,4824,13069,29298,56177
282140,395,563,723,982,1441
270450,60,171,400,944,2357
286160,364,931,2674,7986,21754
287700,833,2581,5093,9028,15499
290260,71,179,406,820,1242
290770,164,212,277,384,547
294100,2810,6662,15778,34994,69278
201810,477,674,993,1628,2665
295110,257,1005,3726,12559,34598
237930,187,352,559,913,1333
301650,74,308,918,2722,6688
304410,313,783,1562,4160,12996
8600,23,105,753,3630,11952
8660,0,0,1,0,0
26800,63,217,375,608,1024
310560,100,338,996,2982,7452
310790,68,209,608,1420,2912
311690,433,1219,3760,8666,14998
312520,170,672,2017,4531,9203
314160,234,1148,4804,18298,56743
314650,89,258,645,1602,3875
247080,169,395,902,2474,6542
317360,32,88,219,461,861
241930,495,1057,1727,2702,4237
322170,329,939,3518,14180,47398
322500,111,188,337,647,1267
323190,457,903,1813,3655,7097
327890,25,62,163,343,680
332200,340,652,928,1350,1950
333640,385,1319,3964,9554,20619
334940,232,429,627,835,1136
257510,316,937,1660,2704,4209
250900,1518,4592,11683,24347,42867
230290,133,344,880,2415,6470
242680,394,1188,3605,9516,18969
341190,9,15,25,43,78
342610,90,192,619,2602,10268
266510,132,284,597,1129,2126
350780,16,39,79,155,337
350080,274,377,564,977,1668
355240,10,25,66,193,396
232090,419,1376,4597,13519,31419
360740,68,160,386,862,1802
367520,695,1974,3510,5869,9436
368340,514,1539,3576,5811,8609
322330,472,1276,3726,9899,23085
292030,963,3248,6691,11250,17848
374320,1134,3433,7103,13342,23247
375750,31,94,252,575,1172
381890,33,99,413,806,1134
381940,9,12,25,54,103
387290,377,624,887,1309,2049
253030,52,134,261,594,1261
394510,313,862,2076,4569,9974
400450,52,153,365,838,1589
365450,96,285,567,1027,1817
393380,343,1462,4882,14862,39018
404540,50,119,265,540,1189
406290,225,668,1851,5789,16080
413150,1061,2766,5869,10942,18825
422970,36,113,348,1000,2823
427520,1732,4330,10554,25102,54708
210970,125,538,1312,2275,3575
359550,1307,4728,17166,43945,80353
432980,32,84,182,386,898
433340,407,802,1656,3290,6134
434660,64,172,404,830,1726
438140,99,417,1588,6669,24063
230270,134,348,888,2430,7243
447150,44,100,180,321,608
450220,12,21,47,116,323
450390,36,78,202,470,992
450500,40,137,374,635,1107
455400,48,150,376,1064,1680
234630,153,526,1660,4832,12259
462620,108,244,377,562,773
375600,14,41,195,523,1084
379720,403,729,1217,2197,4013
469790,86,259,460,675,984
471710,203,452,1137,3259,12125
274500,114,307,811,2002,4231
476240,38,121,316,577,927
480490,471,1216,1957,3048,4839
494720,18,66,217,654,2078
497800,102,244,538,1237,3010
498470,16,62,159,311,574
501300,115,136,177,254,370
508440,452,988,2289,5056,10193
510490,298,402,504,676,996
473950,167,267,360,530,783
512900,278,728,1913,4605,8994
289070,1127,2863,7503,19444,45814
528230,371,826,2082,5052,10655
397950,89,219,388,685,1259
548430,688,1803,4724,10842,21134
563560,55,194,522,1276,3302
572890,185,251,348,519,848
578080,1644,6681,21400,49532,91506
579940,196,459,1369,4615,13603
588650,573,1146,2408,4850,8946
590380,364,763,1602,3127,5554
599390,80,382,1358,4098,9631
603530,111,431,1100,2608,5024
603960,176,445,1085,2571,5550
615610,25,63,112,232,433
646570,1131,2482,5616,12533,24838
654910,44,126,432,548,1125
663670,88,262,588,2143,13938
673130,145,364,616,943,1481
677620,91,267,549,1088,2037
700330,223,834,3341,9506,20383
715010,24,77,145,248,500
435150,1934,4214,7493,12409,19634
718560,254,612,1502,3656,8749
722730,133,411,1110,3538,10497
732430,30,83,197,430,934
736260,175,331,734,1836,3461
753640,294,875,1281,1725,2334
758370,364,1106,3316,10077,26237
774361,273,761,1283,2069,3249
797620,19,105,350,678,1159
805550,309,1130,3855,11467,27570
809020,204,451,933,1614,2920
840930,11,36,71,148,442
203770,442,3676,14813,38057,75319
843430,7,19,76,125,292
843440,10,29,72,160,337
858210,337,870,1975,4173,8766
861330,34,72,251,959,2411
862570,21,56,100,220,602
881100,366,883,2312,5593,11709
883710,543,928,1531,2678,4576
851670,88,248,688,1602,3692
892970,986,2217,4406,7723,12559
906110,55,96,228,763,2565
906120,21,64,219,450,846
916730,135,213,299,429,666
923260,74,153,284,390,506
502500,396,893,1605,3334,6582
519860,221,441,723,1240,2178
1046030,71,210,424,867,1812
1046930,89,464,2022,6782,16114
632360,740,1814,4294,8588,14393
686810,153,798,2574,7060,17062
1063580,93,294,605,1375,3989
976730,585,1324,2997,6412,13096
1137350,121,353,1053,2134,3042
1085660,524,2145,11483,39829,84672
1184810,93,130,232,842,1998
1194840,29,49,72,137,276
1145360,625,1254,2646,5004,7631
1217060,548,1287,2761,4873,7686
1229490,219,417,886,1914,3618
1241700,13,20,27,39,65
1250410,917,2110,4898,11296,23537
1255650,210,462,918,1945,3987
1264970,46,140,383,958,2062
1271280,142,358,1109,3491,6899
1285670,31,65,135,254,447
34330,593,2071,6076,15042,30727
1342740,17,53,173,415,978
1349230,54,132,287,592,1225
638230,95,113,180,374,683
297130,26,73,224,416,766
571310,383,565,789,1119,1651
440,466,2734,16306,53503,113362
570,1865,28672,99572,204412,329386
630,42,142,440,1181,3108
1840,61,288,1784,9416,41916
259080,69,252,687,1651,3771
1147560,472,1050,2109,3809,6438
7610,20,253,1741,5484,16239
340,14,21,34,68,188
1530,9,50,256,862,2030
10500,864,2882,8016,19347,41497
22320,158,674,2562,6540,13013
24780,43,288,1353,4466,12526
22000,26,92,262,531,983
31700,23,106,344,971,2476
41210,0,0,868,0,0
92800,71,220,717,2119,4760
233450,505,1354,3353,7361,14123
233550,21,62,130,193,288
42960,497,2305,7641,19772,41220
239030,155,321,577,1018,1677
232430,77,106,150,226,357
236850,2384,11240,34197,74544,129601
251570,638,2657,8189,22114,52703
261470,104,1070,3848,9783,23130
261550,1412,2981,5819,10934,19458
262060,612,1563,3776,8036,15056
265890,88,133,202,314,514
211820,146,1335,4167,9697,19381
280220,654,1358,2858,7696,23894
304430,198,243,323,482,757
40400,72,199,1136,5566,13419
327560,135,182,262,406,690
328080,310,918,2549,6040,12650
329130,621,1315,2970,6744,14633
291650,854,2321,4562,8025,13644
255710,553,1512,4390,12303,29263
367450,85,241,486,1031,2222
383870,200,243,307,431,637
391540,359,677,1226,2245,3913
398850,107,297,451,657,996
410900,257,669,1607,3796,8648
420530,284,385,521,733,1065
423230,132,323,601,1110,1969
268500,952,2620,5832,12856,26880
431240,188,417,862,1713,3179
457140,643,1677,5088,15623,38084
462770,204,572,853,1217,1814
504210,125,384,944,2180,4573
504230,393,712,1461,3093,5948
505460,277,1020,2994,9698,32082
558990,307,643,1243,2133,3663
632470,494,1185,1858,2733,4011
683320,180,226,304,464,708
688060,108,331,955,2081,4179
716490,233,609,1331,2593,4238
464920,302,999,2906,6724,14194
813780,691,1723,4830,12529,27295
815370,311,799,1617,3129,5881
552500,446,1092,3305,11100,30612
880580,77,202,480,1061,1745
945360,445,889,1777,3339,5800
492720,532,1118,2461,5295,10331
979110,309,819,1924,4136,8191
1091500,861,2066,3707,6003,9249
1127400,501,1254,2895,6223,12510
1147690,1455,8048,44728,164545,375903
1282730,525,935,1700,2874,4446
1158310,1147,2700,5791,11300,20046
1318690,325,690,1526,3102,5943
1366540,765,1974,4653,9141,16662
1455840,211,426,879,1841,3534
20900,150,911,2447,3668,5504
22380,864,2393,5590,11621,22039
12210,107,586,1900,3985,7594
208140,173,496,1885,4666,9647
205100,479,846,1520,2892,5339
220240,328,951,1730,2958,5090
203160,367,624,905,1381,2215
8870,444,667,1023,1691,2884
233720,39,127,283,589,1145
43160,0,0,980,0,0
242920,451,1068,2528,5979,13793
244850,370,1809,7556,22992,54462
239820,301,563,1092,2164,4043
233130,143,383,799,1182,1860
264710,713,1772,3345,5875,9871
108600,381,1118,3206,8329,18550
213670,512,813,1132,1754,2816
219740,226,657,2018,5654,13450
312280,16,52,200,574,1586
258520,76,201,289,406,583
65980,253,762,2042,5184,12020
305620,292,817,2306,6398,15949
348250,36,89,238,554,1221
365360,1200,3327,8860,21664,44867
377160,1025,3308,7971,17720,36499
381780,111,229,492,1085,2080
400940,59,190,365,583,1009
420290,45,200,605,1454,3335
427760,76,177,267,423,664
436320,50,142,362,778,1473
445220,952,3084,7647,16948,32711
448280,108,225,431,888,1911
456670,167,426,1166,2706,4788
493080,269,763,1776,4330,7574
496240,134,480,1309,3359,9131
500500,28,98,523,2005,6634
513710,227,994,3481,11649,34118
515020,9,14,27,51,105
578620,91,252,558,1226,2509
597220,329,641,1161,2217,3981
598060,129,337,737,1483,2814
599140,563,1482,3226,5121,8024
611660,59,182,674,2538,6244
611670,60,296,1116,3524,8225
617830,68,128,255,504,965
240720,46,138,408,1255,2927
704270,96,337,1225,3358,7419
814370,397,1019,2082,3470,5438
861540,252,505,1200,2584,4181
890720,67,251,435,601,823
814380,813,2104,3745,5963,8869
927270,41,61,134,232,360
960090,635,1356,3065,6372,11983
1062160,228,469,1031,2345,4919
1075740,163,410,878,1916,3617
379430,756,2150,4345,7694,12868
1102190,762,1477,3124,6526,12879
1161580,260,641,1430,3144,6067
1237970,319,456,913,2201,4983
555000,12,27,93,279,624
17700,0,0,516,0,0
403640,456,984,1796,3112,5227
292730,36,195,776,2284,7694
612880,377,631,931,1538,2608
476600,70,303,482,820,1496
782330,532,1043,1775,3216,6301
